Matrix,Processing Date,Stage,Concentration,,,,,Sample Volume (mL)
,,,16S Concentration (gc/µL),T3 Concentration (gc/µL),HS2 Concentration (gc/µL),HM1 Concentration (gc/µL),ICBM5 Concentration (gc/µL),
Influent,6/25/19,Before Spike,1.22E+06,1.08E+04,NA,NA,NA,499.98
,,Before,1.15E+06,3.41E+04,NA,NA,NA,479.37
,,After FeCl3 Flocculation,2.93E+04,8.23E+05,NA,NA,NA,12.5
,,After Chloroform,3.81E+04,5.39E+05,NA,NA,NA,11.73
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,7.27E+03,2.23E+05,NA,NA,NA,1.2681
,6/27/19,Before Spike,1.16E+06,1.35E+03,NA,NA,NA,500.26
,,Before,9.79E+05,2.22E+04,NA,NA,NA,482.44
,,After FeCl3 Flocculation,3.20E+04,7.57E+05,NA,NA,NA,12.5
,,After Chloroform,3.28E+04,5.17E+05,NA,NA,NA,11.59
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,4.19E+03,1.59E+05,NA,NA,NA,1.2681
,7/1/19,Before Spike,1.19E+06,2.19E+03,NA,NA,NA,499.5
,,Before,8.89E+05,2.58E+04,NA,NA,NA,492.8
,,After FeCl3 Flocculation,3.46E+04,6.10E+05,NA,NA,NA,12.5
,,After Chloroform,2.79E+04,5.71E+05,NA,NA,NA,10.64
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,9.51E+03,2.43E+05,NA,NA,NA,1.2681
Secondary Effluent,6/25/19,Before Spike,2.17E+04,3.00E+03,NA,NA,NA,499.64
,,Before,1.54E+04,2.79E+04,NA,NA,NA,487.94
,,After FeCl3 Flocculation,1.15E+04,9.60E+05,NA,NA,NA,12.5
,,After Chloroform,1.03E+04,8.34E+05,NA,NA,NA,7.65
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,4.80E+03,3.72E+05,NA,NA,NA,1.2681
,6/27/19,Before Spike,2.39E+04,4.18E+01,NA,NA,NA,499.86
,,Before,2.44E+04,4.24E+04,NA,NA,NA,493.14
,,After FeCl3 Flocculation,1.45E+04,1.09E+06,NA,NA,NA,12.5
,,After Chloroform,6.53E+03,6.52E+05,NA,NA,NA,12.08
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,2.20E+03,2.10E+05,NA,NA,NA,1.2681
,7/1/19,Before Spike,3.78E+04,7.22E+02,NA,NA,NA,500.02
,,Before,2.89E+04,2.84E+04,NA,NA,NA,497.37
,,After FeCl3 Flocculation,2.66E+04,9.21E+05,NA,NA,NA,12.5
,,After Chloroform,1.90E+04,8.79E+05,NA,NA,NA,11.52
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,3.58E+03,1.27E+05,NA,NA,NA,1.2681
River Water,6/25/19,Before Spike,2.32E+04,3.58E+03,NA,NA,NA,500.29
,,Before,1.70E+04,2.83E+04,NA,NA,NA,478.53
,,After FeCl3 Flocculation,1.67E+04,8.02E+05,NA,NA,NA,12.5
,,After Chloroform,8.10E+03,3.49E+05,NA,NA,NA,4.49
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,2.12E+03,1.14E+05,NA,NA,NA,1.2681
,6/27/19,Before Spike,2.58E+04,5.00E+01,NA,NA,NA,500.08
,,Before,1.74E+04,3.47E+04,NA,NA,NA,488.32
,,After FeCl3 Flocculation,6.85E+04,7.58E+05,NA,NA,NA,12.5
,,After Chloroform,3.68E+04,5.99E+05,NA,NA,NA,11.83
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,1.56E+04,3.54E+05,NA,NA,NA,1.2681
,7/1/19,Before Spike,1.74E+04,5.74E+01,NA,NA,NA,499.58
,,Before,1.59E+04,2.19E+04,NA,NA,NA,498.24
,,After FeCl3 Flocculation,7.54E+04,1.09E+06,NA,NA,NA,12.5
,,After Chloroform,5.78E+04,8.41E+05,NA,NA,NA,12.06
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,8.58E+03,2.34E+05,NA,NA,NA,1.2681
2/27/20 Shedd Aquarium Seawater,3/5/20,Before Spike,1.57E+03,NA,4.17E+03,5.82E+02,2.21E+03,21511.38
,,Before,2.89E+03,NA,2.69E+04,4.58E+03,2.77E+05,21431
,,After FeCl3 Flocculation,3.37E+05,NA,3.55E+06,5.43E+05,3.63E+07,100
,,Before Chloroform,NA,NA,NA,NA,NA,~10
,,After Chloroform,4.06E+05,NA,3.69E+06,8.32E+05,3.03E+07,11.71
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,1.05E+04,NA,6.95E+05,2.25E+05,1.25E+06,1.2681
,3/5/20,Before Spike,1.37E+03,NA,3.84E+02,3.79E+02,1.05E+03,21496.24
,,Before,3.69E+03,NA,2.80E+04,3.91E+03,2.90E+05,21486.35
,,After FeCl3 Flocculation,3.29E+05,NA,3.84E+06,6.26E+05,3.42E+07,100
,,Before Chloroform,NA,NA,NA,NA,NA,~10
,,After Chloroform,3.22E+05,NA,3.62E+06,6.97E+05,2.63E+07,11.98
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,5.98E+03,NA,6.91E+05,1.98E+05,8.99E+05,1.2681
,3/5/20,Before Spike,1.19E+03,NA,3.74E+02,1.67E+02,6.09E+02,21340.31
,,Before,2.35E+03,NA,2.75E+04,3.88E+03,2.97E+05,21461.38
,,After FeCl3 Flocculation,3.26E+05,NA,3.74E+06,5.39E+05,3.53E+07,100
,,Before Chloroform,NA,NA,NA,NA,NA,~10
,,After Chloroform,2.93E+05,NA,3.15E+06,6.99E+05,2.01E+07,11.52
,,Before DNase,NA,NA,NA,NA,NA,1
,,After DNase,8.96E+03,NA,6.47E+05,1.70E+05,1.07E+06,1.2681
